batsman,out,run,ball,minutes,4s,6s,sr,match_id,batting_position
Extras,"(b 4, lb 3, w 4)",11,,,,,,1359511,8
TOTAL,20 Ov (RR: 10.10),202/5,,,,,,1359511,9
Jason Roy , b Vyshak,56,29,50,4,5,193.10,1359510,1
Narayan Jagadeesan †,c Willey b Vyshak,27,29,44,4,0,93.10,1359510,2
Venkatesh Iyer ,c Maxwell b Hasaranga,31,26,44,3,0,119.23,1359510,3
Nitish Rana (c),c Vyshak b Hasaranga,48,21,28,3,4,228.57,1359510,4
Andre Russell , b Mohammed Siraj,1,2,10,0,0,50.00,1359510,5
Rinku Singh ,not out ,18,10,12,2,1,180.00,1359510,6
David Wiese ,not out ,12,3,5,0,2,400.00,1359510,7
Extras,"(lb 2, w 5)",7,,,,,,1359510,8
TOTAL,20 Ov (RR: 10.00),200/5,,,,,,1359510,9
Wriddhiman Saha †,c †Ishan Kishan b Tendulkar,4,7,13,0,0,57.14,1359509,1
Shubman Gill ,c Yadav b Kartikeya,56,34,57,7,1,164.70,1359509,2
Hardik Pandya (c),c Yadav b Chawla,13,14,23,1,0,92.85,1359509,3
Vijay Shankar ,c David b Chawla,19,16,27,1,1,118.75,1359509,4
David Miller ,c Yadav b Behrendorff,46,22,47,2,4,209.09,1359509,5
Abhinav Manohar ,c Behrendorff b Meredith,42,21,30,3,3,200.00,1359509,6
Rahul Tewatia ,not out ,20,5,13,0,3,400.00,1359509,7
Rashid Khan ,not out ,2,1,2,0,0,200.00,1359509,8
Extras,(w 5),5,,,,,,1359509,9
TOTAL,20 Ov (RR: 10.35),207/6,,,,,,1359509,10
David Warner (c),c Brook b Washington Sundar,21,20,39,2,1,105.00,1359508,1
Phil Salt †,c †Klaasen b Kumar,0,1,4,0,0,0.00,1359508,2
Mitchell Marsh ,lbw b Natarajan,25,15,22,5,0,166.66,1359508,3
Sarfaraz Khan ,c Kumar b Washington Sundar,10,9,16,0,1,111.11,1359508,4
Manish Pandey ,run out (Washington Sundar/†Klaasen),34,27,53,2,0,125.92,1359508,5
Aman Hakim Khan ,c Abhishek Sharma b Washington Sundar,4,2,3,1,0,200.00,1359508,6
Axar Patel , b Kumar,34,34,43,4,0,100.00,1359508,7
Ripal Patel ,run out (†Klaasen),5,6,13,0,0,83.33,1359508,8
Anrich Nortje ,run out (Umran Malik/†Klaasen),2,2,7,0,0,100.00,1359508,9
Kuldeep Yadav ,not out ,4,3,5,1,0,133.33,1359508,10
Ishant Sharma ,not out ,1,1,2,0,0,100.00,1359508,11
Extras,"(lb 2, w 2)",4,,,,,,1359508,12
TOTAL,20 Ov (RR: 7.20),144/9,,,,,,1359508,13
Ruturaj Gaikwad , b Suyash Sharma,35,20,35,2,3,175.00,1359507,1
Devon Conway ,c Wiese b Varun,56,40,56,4,3,140.00,1359507,2
Ajinkya Rahane ,not out ,71,29,70,6,5,244.82,1359507,3
Shivam Dube ,c Roy b Khejroliya,50,21,31,2,5,238.09,1359507,4
Ravindra Jadeja ,c Singh b Khejroliya,18,8,13,0,2,225.00,1359507,5
MS Dhoni (c)†,not out ,2,3,4,0,0,66.66,1359507,6
Extras,"(nb 1, w 2)",3,,,,,,1359507,7
TOTAL,20 Ov (RR: 11.75),235/4,,,,,,1359507,8
Virat Kohli (c),lbw b Boult,0,1,2,0,0,0.00,1359506,1
Faf du Plessis ,run out (Jaiswal),62,39,71,8,2,158.97,1359506,2
Shahbaz Ahmed ,c Jaiswal b Boult,2,4,10,0,0,50.00,1359506,3
Glenn Maxwell ,c Holder b Ashwin,77,44,66,6,4,175.00,1359506,4
Mahipal Lomror ,c Padikkal b Chahal,8,6,16,1,0,133.33,1359506,5
Dinesh Karthik †,c Buttler b Sandeep Sharma,16,13,28,2,0,123.07,1359506,6
Suyash Prabhudessai ,run out (Jaiswal/†Samson),0,2,5,0,0,0.00,1359506,7
Wanindu Hasaranga ,run out (†Samson/Sandeep Sharma),6,7,14,0,0,85.71,1359506,8
David Willey ,not out ,4,2,8,1,0,200.00,1359506,9
Vijaykumar Vyshak ,c Hetmyer b Sandeep Sharma,0,1,2,0,0,0.00,1359506,10
Mohammed Siraj ,not out ,1,1,4,0,0,100.00,1359506,11
Extras,"(lb 3, w 10)",13,,,,,,1359506,12
TOTAL,20 Ov (RR: 9.45),189/9,,,,,,1359506,13
Matthew Short ,c Chawla b Green,11,10,15,2,0,110.00,1359505,1
Prabhsimran Singh ,lbw b Tendulkar,26,17,37,1,2,152.94,1359505,2
Atharva Taide , b Chawla,29,17,38,3,1,170.58,1359505,3
Liam Livingstone ,st †Ishan Kishan b Chawla,10,12,12,0,1,83.33,1359505,4
Harpreet Singh , b Green,41,28,47,4,2,146.42,1359505,5
Sam Curran (c),c & b Archer,55,29,51,5,4,189.65,1359505,6
Jitesh Sharma †, b Behrendorff,25,7,12,0,4,357.14,1359505,7
M Shahrukh Khan ,not out ,0,0,6,0,0,-,1359505,8
Harpreet Brar ,run out (Tilak Varma/†Ishan Kishan),5,2,3,1,0,250.00,1359505,9
Extras,"(lb 3, nb 2, w 7)",12,,,,,,1359505,10
TOTAL,20 Ov (RR: 10.70),214/8,,,,,,1359505,11
Wriddhiman Saha †,c Hooda b Pandya,47,37,51,6,0,127.02,1359504,1
Shubman Gill ,c Ravi Bishnoi b Pandya,0,2,9,0,0,0.00,1359504,2
Hardik Pandya (c),c Rahul b Stoinis,66,50,89,2,4,132.00,1359504,3
Abhinav Manohar ,c Naveen-ul-Haq b Mishra,3,5,7,0,0,60.00,1359504,4
Vijay Shankar , b Naveen-ul-Haq,10,12,17,1,0,83.33,1359504,5
David Miller ,c Hooda b Stoinis,6,12,28,0,0,50.00,1359504,6
Rahul Tewatia ,not out ,2,2,4,0,0,100.00,1359504,7
Extras,(lb 1),1,,,,,,1359504,8
TOTAL,20 Ov (RR: 6.75),135/6,,,,,,1359504,9
Harry Brook ,c Gaikwad b Akash Singh,18,13,23,3,0,138.46,1359503,1
Abhishek Sharma ,c Rahane b Jadeja,34,26,43,3,1,130.76,1359503,2
Rahul Tripathi ,c Akash Singh b Jadeja,21,21,31,1,1,100.00,1359503,3
Aiden Markram (c),c †Dhoni b Theekshana,12,12,15,1,0,100.00,1359503,4
Heinrich Klaasen †,c Gaikwad b Pathirana,17,16,27,1,0,106.25,1359503,5
Mayank Agarwal ,st †Dhoni b Jadeja,2,4,6,0,0,50.00,1359503,6
Marco Jansen ,not out ,17,22,29,1,0,77.27,1359503,7
Washington Sundar ,run out (†Dhoni),9,6,14,1,0,150.00,1359503,8
Extras,"(lb 2, w 2)",4,,,,,,1359503,9
TOTAL,20 Ov (RR: 6.70),134/7,,,,,,1359503,10
Jason Roy ,c Aman Hakim Khan b Kuldeep Yadav,43,39,74,5,1,110.25,1359502,1
Litton Das †,c Lalit Yadav b Mukesh Kumar,4,4,13,1,0,100.00,1359502,2
Venkatesh Iyer ,c Marsh b Nortje,0,2,9,0,0,0.00,1359502,3
Nitish Rana (c),c Mukesh Kumar b Sharma,4,7,11,1,0,57.14,1359502,4
Mandeep Singh , b Patel,12,11,16,0,1,109.09,1359502,5
Rinku Singh ,c Lalit Yadav b Patel,6,8,9,1,0,75.00,1359502,6
Sunil Narine ,c Warner b Sharma,4,6,6,1,0,66.66,1359502,7
Andre Russell ,not out ,38,31,49,1,4,122.58,1359502,8
Anukul Roy ,lbw b Kuldeep Yadav,0,1,2,0,0,0.00,1359502,9
Umesh Yadav ,c & b Nortje,3,5,5,0,0,60.00,1359502,10
Varun Chakravarthy ,run out (sub [YV Dhull]/†Salt),1,6,28,0,0,16.66,1359502,11
Extras,"(lb 1, w 11)",12,,,,,,1359502,12
TOTAL,20 Ov (RR: 6.35),127,,,,,,1359502,13
Virat Kohli (c),c †Sharma b Harpreet Brar,59,47,72,5,1,125.53,1359501,1
Faf du Plessis ,c Curran b Ellis,84,56,78,5,5,150.00,1359501,2
Glenn Maxwell ,c Taide b Harpreet Brar,0,1,1,0,0,0.00,1359501,3
Dinesh Karthik †,c Taide b Arshdeep Singh,7,5,16,1,0,140.00,1359501,4
Mahipal Lomror ,not out ,7,9,15,1,0,77.77,1359501,5
Shahbaz Ahmed ,not out ,5,3,5,0,0,166.66,1359501,6
Extras,"(lb 8, nb 1, w 3)",12,,,,,,1359501,7
TOTAL,20 Ov (RR: 8.70),174/4,,,,,,1359501,8
KL Rahul (c),c Buttler b Holder,39,32,51,4,1,121.87,1359500,1
Kyle Mayers , b Ashwin,51,42,69,4,3,121.42,1359500,2
Ayush Badoni , b Boult,1,4,6,0,0,25.00,1359500,3
Deepak Hooda ,c Hetmyer b Ashwin,2,4,7,0,0,50.00,1359500,4
Marcus Stoinis ,c †Samson b Sandeep Sharma,21,16,31,2,0,131.25,1359500,5
Nicholas Pooran †,run out (†Samson),29,20,27,2,1,145.00,1359500,6
Krunal Pandya ,not out ,4,2,4,1,0,200.00,1359500,7
Yudhvir Singh ,run out (Hetmyer/†Samson),1,1,2,0,0,100.00,1359500,8
Extras,"(lb 4, nb 1, w 1)",6,,,,,,1359500,9
TOTAL,20 Ov (RR: 7.70),154/7,,,,,,1359500,10
Rohit Sharma (c),c Markram b Natarajan,28,18,22,6,0,155.55,1359499,1
Ishan Kishan †,c Markram b Jansen,38,31,51,3,2,122.58,1359499,2
Cameron Green ,not out ,64,40,75,6,2,160.00,1359499,3
Suryakumar Yadav ,c Markram b Jansen,7,3,6,0,1,233.33,1359499,4
Tilak Varma ,c Agarwal b Kumar,37,17,24,2,4,217.64,1359499,5
Tim David ,run out (Abhishek Sharma/Natarajan),16,11,19,2,0,145.45,1359499,6
Extras,(w 2),2,,,,,,1359499,7
TOTAL,20 Ov (RR: 9.60),192/5,,,,,,1359499,8
Ruturaj Gaikwad ,c Parnell b Mohammed Siraj,3,6,12,0,0,50.00,1359498,1
Devon Conway , b Patel,83,45,73,6,6,184.44,1359498,2
Ajinkya Rahane , b Hasaranga,37,20,33,3,2,185.00,1359498,3
Shivam Dube ,c Mohammed Siraj b Parnell,52,27,35,2,5,192.59,1359498,4
Ambati Rayudu ,c †Karthik b Vyshak,14,6,11,1,1,233.33,1359498,5
Moeen Ali ,not out ,19,9,24,0,2,211.11,1359498,6
Ravindra Jadeja ,c Prabhudessai b Maxwell,10,8,17,0,1,125.00,1359498,7
MS Dhoni (c)†,not out ,1,1,2,0,0,100.00,1359498,8
Extras,"(lb 1, nb 2, w 4)",7,,,,,,1359498,9
TOTAL,20 Ov (RR: 11.30),226/6,,,,,,1359498,10
Wriddhiman Saha †,c & b Boult,4,3,4,1,0,133.33,1359497,1
Shubman Gill ,c Buttler b Sandeep Sharma,45,34,70,4,1,132.35,1359497,2
Sai Sudharsan ,run out (Buttler/†Samson),20,19,23,2,0,105.26,1359497,3
Hardik Pandya (c),c Jaiswal b Chahal,28,19,22,3,1,147.36,1359497,4
David Miller ,c Hetmyer b Sandeep Sharma,46,30,43,3,2,153.33,1359497,5
Abhinav Manohar ,c Padikkal b Zampa,27,13,17,0,3,207.69,1359497,6
Rahul Tewatia ,not out ,1,1,10,0,0,100.00,1359497,7
Rashid Khan ,run out (Buttler/Sandeep Sharma),1,1,4,0,0,100.00,1359497,8
Alzarri Joseph ,not out ,0,0,2,0,0,-,1359497,9
Extras,"(lb 1, w 4)",5,,,,,,1359497,10
TOTAL,20 Ov (RR: 8.85),177/7,,,,,,1359497,11
Rahmanullah Gurbaz †,c Jansen b Chawla,8,12,39,0,0,66.66,1359496,1
Narayan Jagadeesan ,c Shokeen b Green,0,5,12,0,0,0.00,1359496,2
Venkatesh Iyer ,c Jansen b Meredith,104,51,82,6,9,203.92,1359496,3
Nitish Rana (c),c sub (Ramandeep Singh) b Shokeen,5,10,13,0,0,50.00,1359496,4
Shardul Thakur ,c Tilak Varma b Shokeen,13,11,23,1,0,118.18,1359496,5
Rinku Singh ,c Wadhera b Jansen,18,18,32,2,0,100.00,1359496,6
Andre Russell ,not out ,21,11,18,3,1,190.90,1359496,7
Sunil Narine ,not out ,2,2,9,0,0,100.00,1359496,8
Extras,"(lb 2, w 12)",14,,,,,,1359496,9
TOTAL,20 Ov (RR: 9.25),185/6,,,,,,1359496,10
KL Rahul (c),c sub (NT Ellis) b Arshdeep Singh,74,56,101,8,1,132.14,1359495,1
Kyle Mayers ,c Harpreet Singh b Harpreet Brar,29,23,34,1,3,126.08,1359495,2
Deepak Hooda ,lbw b Sikandar Raza,2,3,7,0,0,66.66,1359495,3
Krunal Pandya ,c Shahrukh Khan b Rabada,18,17,30,2,0,105.88,1359495,4
Nicholas Pooran †,c Shahrukh Khan b Rabada,0,1,5,0,0,0.00,1359495,5
Marcus Stoinis ,c †Sharma b Curran,15,11,22,0,2,136.36,1359495,6
Ayush Badoni ,not out ,5,6,17,0,0,83.33,1359495,7
Krishnappa Gowtham ,c Sikandar Raza b Curran,1,2,7,0,0,50.00,1359495,8
Yudhvir Singh ,c Shahrukh Khan b Curran,0,1,3,0,0,0.00,1359495,9
Ravi Bishnoi ,not out ,3,1,3,0,0,300.00,1359495,10
Extras,"(lb 5, nb 1, w 6)",12,,,,,,1359495,11
TOTAL,20 Ov (RR: 7.95),159/8,,,,,,1359495,12
Virat Kohli ,c Dhull b Lalit Yadav,50,34,46,6,1,147.05,1359494,1
Faf du Plessis (c),c Aman Hakim Khan b Marsh,22,16,21,3,1,137.50,1359494,2
Mahipal Lomror ,c †Abishek Porel b Marsh,26,18,38,0,2,144.44,1359494,3
Glenn Maxwell ,c Warner b Kuldeep Yadav,24,14,25,0,3,171.42,1359494,4
Harshal Patel ,c †Abishek Porel b Patel,6,4,9,0,1,150.00,1359494,5
Shahbaz Ahmed ,not out ,20,12,31,3,0,166.66,1359494,6
Dinesh Karthik †,c Lalit Yadav b Kuldeep Yadav,0,1,2,0,0,0.00,1359494,7
Anuj Rawat ,not out ,15,22,26,1,0,68.18,1359494,8
Extras,"(b 1, lb 6, nb 1, w 3)",11,,,,,,1359494,9
TOTAL,20 Ov (RR: 8.70),174/6,,,,,,1359494,10
Harry Brook ,not out ,100,55,99,12,3,181.81,1359493,1
Mayank Agarwal ,c Varun b Russell,9,13,22,0,0,69.23,1359493,2
Rahul Tripathi ,c †Rahmanullah Gurbaz b Russell,9,4,6,2,0,225.00,1359493,3
Aiden Markram (c),c Russell b Varun,50,26,32,2,5,192.30,1359493,4
Abhishek Sharma ,c Thakur b Russell,32,17,28,3,2,188.23,1359493,5
Heinrich Klaasen †,not out ,16,6,13,2,1,266.66,1359493,6
Extras,"(nb 1, w 11)",12,,,,,,1359493,7
TOTAL,20 Ov (RR: 11.40),228/4,,,,,,1359493,8
Prabhsimran Singh ,c Rashid Khan b Mohammed Shami,0,2,3,0,0,0.00,1359492,1
Shikhar Dhawan (c),c Joseph b Little,8,8,20,2,0,100.00,1359492,2
Matthew Short , b Rashid Khan,36,24,38,6,1,150.00,1359492,3
Bhanuka Rajapaksa ,c Shubman Gill b Joseph,20,26,73,1,0,76.92,1359492,4
Jitesh Sharma †,c †Saha b Sharma,25,23,29,5,0,108.69,1359492,5
Sam Curran ,c Shubman Gill b Sharma,22,22,33,1,1,100.00,1359492,6
M Shahrukh Khan ,run out (Miller/†Saha),22,9,19,1,2,244.44,1359492,7
Harpreet Brar ,not out ,8,5,12,0,1,160.00,1359492,8
Rishi Dhawan ,run out (†Saha),1,1,4,0,0,100.00,1359492,9
Extras,"(lb 2, w 9)",11,,,,,,1359492,10
TOTAL,20 Ov (RR: 7.65),153/8,,,,,,1359492,11
Yashasvi Jaiswal ,c Dube b Deshpande,10,8,9,2,0,125.00,1359491,1
Jos Buttler , b Ali,52,36,79,1,3,144.44,1359491,2
Devdutt Padikkal ,c Conway b Jadeja,38,26,33,5,0,146.15,1359491,3
Sanju Samson (c)†, b Jadeja,0,2,2,0,0,0.00,1359491,4
Ravichandran Ashwin ,c Magala b Akash Singh,30,22,29,1,2,136.36,1359491,5
Shimron Hetmyer ,not out ,30,18,28,2,2,166.66,1359491,6
Dhruv Jurel ,c Dube b Akash Singh,4,6,15,0,0,66.66,1359491,7
Jason Holder ,c Conway b Deshpande,0,1,6,0,0,0.00,1359491,8
Adam Zampa ,run out (Theekshana/†Dhoni),1,1,2,0,0,100.00,1359491,9
Extras,(w 10),10,,,,,,1359491,10
TOTAL,20 Ov (RR: 8.75),175/8,,,,,,1359491,11
David Warner (c),c Meredith b Behrendorff,51,47,94,6,0,108.51,1359490,1
Prithvi Shaw ,c Green b Shokeen,15,10,17,3,0,150.00,1359490,2
Manish Pandey ,c Behrendorff b Chawla,26,18,24,5,0,144.44,1359490,3
Yash Dhull ,c Wadhera b Meredith,2,4,7,0,0,50.00,1359490,4
Rovman Powell ,lbw b Chawla,4,4,6,1,0,100.00,1359490,5
Lalit Yadav , b Chawla,2,4,10,0,0,50.00,1359490,6
Axar Patel ,c Arshad Khan b Behrendorff,54,25,29,4,5,216.00,1359490,7
Abishek Porel †,c Green b Behrendorff,1,3,8,0,0,33.33,1359490,8
Kuldeep Yadav ,run out (Wadhera),0,1,2,0,0,0.00,1359490,9
Anrich Nortje , b Meredith,5,3,7,1,0,166.66,1359490,10
Mustafizur Rahman ,not out ,1,1,5,0,0,100.00,1359490,11
Extras,"(lb 1, nb 2, w 8)",11,,,,,,1359490,12
TOTAL,19.4 Ov (RR: 8.74),172,,,,,,1359490,13
Virat Kohli ,c Stoinis b Mishra,61,44,50,4,4,138.63,1359489,1
Faf du Plessis (c),not out ,79,46,104,5,5,171.73,1359489,2
Glenn Maxwell , b Wood,59,29,54,3,6,203.44,1359489,3
Dinesh Karthik †,not out ,1,1,2,0,0,100.00,1359489,4
Extras,"(lb 8, w 4)",12,,,,,,1359489,5
TOTAL,20 Ov (RR: 10.60),212/2,,,,,,1359489,6
Prabhsimran Singh ,lbw b Kumar,0,1,2,0,0,0.00,1359488,1
Shikhar Dhawan (c),not out ,99,66,105,12,5,150.00,1359488,2
Matthew Short ,lbw b Jansen,1,3,9,0,0,33.33,1359488,3
Jitesh Sharma †,c Markram b Jansen,4,9,13,1,0,44.44,1359488,4
Sam Curran ,c Kumar b Markande,22,15,25,3,1,146.66,1359488,5
Sikandar Raza ,c Agarwal b Umran Malik,5,6,5,0,0,83.33,1359488,6
M Shahrukh Khan ,lbw b Markande,4,3,7,1,0,133.33,1359488,7
Harpreet Brar , b Umran Malik,1,2,5,0,0,50.00,1359488,8
Rahul Chahar ,lbw b Markande,0,8,10,0,0,0.00,1359488,9
Nathan Ellis , b Markande,0,5,10,0,0,0.00,1359488,10
Mohit Rathee ,not out ,1,2,25,0,0,50.00,1359488,11
Extras,"(lb 1, w 5)",6,,,,,,1359488,12
TOTAL,20 Ov (RR: 7.15),143/9,,,,,,1359488,13
Wriddhiman Saha †,c Jagadeesan b Narine,17,17,24,3,0,100.00,1359487,1
Shubman Gill ,c Yadav b Narine,39,31,55,5,0,125.80,1359487,2
Sai Sudharsan ,c sub (AS Roy) b Narine,53,38,64,3,2,139.47,1359487,3
Abhinav Manohar , b Suyash Sharma,14,8,13,3,0,175.00,1359487,4
Vijay Shankar ,not out ,63,24,33,4,5,262.50,1359487,5
David Miller ,not out ,2,3,13,0,0,66.66,1359487,6
Extras,"(b 1, lb 4, nb 1, w 10)",16,,,,,,1359487,7
TOTAL,20 Ov (RR: 10.20),204/4,,,,,,1359487,8
Rohit Sharma (c), b Deshpande,21,13,22,3,1,161.53,1359486,1
Ishan Kishan †,c Pretorius b Jadeja,32,21,36,5,0,152.38,1359486,2
Cameron Green ,c & b Jadeja,12,11,23,1,0,109.09,1359486,3
Suryakumar Yadav ,c †Dhoni b Santner,1,2,6,0,0,50.00,1359486,4
Tilak Varma ,lbw b Jadeja,22,18,26,2,1,122.22,1359486,5
Arshad Khan ,lbw b Santner,2,4,4,0,0,50.00,1359486,6
Tim David ,c Rahane b Deshpande,31,22,35,1,2,140.90,1359486,7
Tristan Stubbs ,c Gaikwad b Magala,5,10,13,0,0,50.00,1359486,8
Hrithik Shokeen ,not out ,18,13,20,3,0,138.46,1359486,9
Piyush Chawla ,not out ,5,6,15,0,0,83.33,1359486,10
Extras,"(b 1, lb 2, w 5)",8,,,,,,1359486,11
TOTAL,20 Ov (RR: 7.85),157/8,,,,,,1359486,12
Yashasvi Jaiswal ,c & b Mukesh Kumar,60,31,47,11,1,193.54,1359485,1
Jos Buttler ,c & b Mukesh Kumar,79,51,94,11,1,154.90,1359485,2
Sanju Samson (c)†,c Nortje b Kuldeep Yadav,0,4,7,0,0,0.00,1359485,3
Riyan Parag , b Powell,7,11,16,0,0,63.63,1359485,4
Shimron Hetmyer ,not out ,39,21,32,1,4,185.71,1359485,5
Dhruv Jurel ,not out ,8,3,7,0,1,266.66,1359485,6
Extras,"(lb 1, nb 1, w 4)",6,,,,,,1359485,7
TOTAL,20 Ov (RR: 9.95),199/4,,,,,,1359485,8
Anmolpreet Singh †,lbw b Pandya,31,26,38,3,1,119.23,1359484,1
Mayank Agarwal ,c Stoinis b Pandya,8,7,14,1,0,114.28,1359484,2
Rahul Tripathi ,c Mishra b Yash Thakur,34,41,65,4,0,82.92,1359484,3
Aiden Markram (c), b Pandya,0,1,2,0,0,0.00,1359484,4
Harry Brook ,st †Pooran b Ravi Bishnoi,3,4,5,0,0,75.00,1359484,5
Washington Sundar ,c Hooda b Mishra,16,28,40,0,0,57.14,1359484,6
Abdul Samad ,not out ,21,10,11,1,2,210.00,1359484,7
Adil Rashid ,c Hooda b Mishra,4,3,3,1,0,133.33,1359484,8
Umran Malik ,run out (Hooda/Unadkat),0,0,1,0,0,-,1359484,9
Bhuvneshwar Kumar ,not out ,0,0,4,0,0,-,1359484,10
Extras,"(b 1, lb 1, w 2)",4,,,,,,1359484,11
TOTAL,20 Ov (RR: 6.05),121/8,,,,,,1359484,12
Rahmanullah Gurbaz †,c Akash Deep b Sharma,57,44,58,6,3,129.54,1359483,1
Venkatesh Iyer , b Willey,3,7,18,0,0,42.85,1359483,2
Mandeep Singh , b Willey,0,1,2,0,0,0.00,1359483,3
Nitish Rana (c),c †Karthik b Bracewell,1,5,17,0,0,20.00,1359483,4
Rinku Singh ,c †Karthik b Patel,46,33,64,2,3,139.39,1359483,5
Andre Russell ,c Kohli b Sharma,0,1,2,0,0,0.00,1359483,6
Shardul Thakur ,c Maxwell b Mohammed Siraj,68,29,45,9,3,234.48,1359483,7
Sunil Narine ,not out ,0,1,6,0,0,0.00,1359483,8
Umesh Yadav ,not out ,6,2,2,1,0,300.00,1359483,9
Extras,"(b 4, lb 6, nb 3, w 10)",23,,,,,,1359483,10
TOTAL,20 Ov (RR: 10.20),204/7,,,,,,1359483,11
Prabhsimran Singh ,c Buttler b Holder,60,34,49,7,3,176.47,1359482,1
Shikhar Dhawan (c),not out ,86,56,113,9,3,153.57,1359482,2
Bhanuka Rajapaksa ,retired hurt ,1,1,3,0,0,100.00,1359482,3
Jitesh Sharma †,c Parag b Chahal,27,16,31,2,1,168.75,1359482,4
Sikandar Raza , b Ashwin,1,2,2,0,0,50.00,1359482,5
M Shahrukh Khan ,c Buttler b Holder,11,10,23,1,0,110.00,1359482,6
Sam Curran ,not out ,1,2,3,0,0,50.00,1359482,7
Extras,"(b 1, nb 1, w 8)",10,,,,,,1359482,8
TOTAL,20 Ov (RR: 9.85),197/4,,,,,,1359482,9
David Warner (c), b Joseph,37,32,48,7,0,115.62,1359481,1
Prithvi Shaw ,c Joseph b Mohammed Shami,7,5,17,1,0,140.00,1359481,2
Mitchell Marsh , b Mohammed Shami,4,4,10,1,0,100.00,1359481,3
Sarfaraz Khan ,c Little b Rashid Khan,30,34,66,2,0,88.23,1359481,4
Rilee Rossouw ,c Tewatia b Joseph,0,1,4,0,0,0.00,1359481,5
Abishek Porel †, b Rashid Khan,20,11,25,0,2,181.81,1359481,6
Axar Patel ,c Miller b Mohammed Shami,36,22,33,2,3,163.63,1359481,7
Aman Hakim Khan ,c Pandya b Rashid Khan,8,8,10,0,1,100.00,1359481,8
Kuldeep Yadav ,not out ,1,1,7,0,0,100.00,1359481,9
Anrich Nortje ,not out ,4,2,1,1,0,200.00,1359481,10
Extras,"(lb 4, w 11)",15,,,,,,1359481,11
TOTAL,20 Ov (RR: 8.10),162/8,,,,,,1359481,12
Ruturaj Gaikwad ,c Wood b Ravi Bishnoi,57,31,55,3,4,183.87,1359480,1
Devon Conway ,c Pandya b Wood,47,29,62,5,2,162.06,1359480,2
Shivam Dube ,c Wood b Ravi Bishnoi,27,16,22,1,3,168.75,1359480,3
Moeen Ali ,st †Pooran b Ravi Bishnoi,19,13,25,3,0,146.15,1359480,4
Ben Stokes ,c Yash Thakur b Avesh Khan,8,8,16,1,0,100.00,1359480,5
Ambati Rayudu ,not out ,27,14,26,2,2,192.85,1359480,6
Ravindra Jadeja ,c Ravi Bishnoi b Wood,3,6,13,0,0,50.00,1359480,7
MS Dhoni (c)†,c Ravi Bishnoi b Wood,12,3,6,0,2,400.00,1359480,8
Mitchell Santner ,not out ,1,1,2,0,0,100.00,1359480,9
Extras,"(b 4, lb 4, nb 1, w 7)",16,,,,,,1359480,10
TOTAL,20 Ov (RR: 10.85),217/7,,,,,,1359480,11
Rohit Sharma (c),c †Karthik b Akash Deep,1,10,30,0,0,10.00,1359479,1
Ishan Kishan †,c Patel b Mohammed Siraj,10,13,13,2,0,76.92,1359479,2
Cameron Green , b Topley,5,4,6,1,0,125.00,1359479,3
Suryakumar Yadav ,c Shahbaz Ahmed b Bracewell,15,16,35,1,0,93.75,1359479,4
Tilak Varma ,not out ,84,46,85,9,4,182.60,1359479,5
Nehal Wadhera ,c Kohli b Sharma,21,13,25,1,2,161.53,1359479,6
Tim David , b Sharma,4,7,11,0,0,57.14,1359479,7
Hrithik Shokeen ,c du Plessis b Patel,5,3,12,1,0,166.66,1359479,8
Arshad Khan ,not out ,15,9,19,0,1,166.66,1359479,9
Extras,"(nb 1, w 10)",11,,,,,,1359479,10
TOTAL,20 Ov (RR: 8.55),171/7,,,,,,1359479,11
Yashasvi Jaiswal ,c Agarwal b Fazalhaq Farooqi,54,37,63,9,0,145.94,1359478,1
Jos Buttler , b Fazalhaq Farooqi,54,22,32,7,3,245.45,1359478,2
Sanju Samson (c)†,c Abhishek Sharma b Natarajan,55,32,66,3,4,171.87,1359478,3
Devdutt Padikkal , b Umran Malik,2,5,10,0,0,40.00,1359478,4
Riyan Parag ,c Fazalhaq Farooqi b Natarajan,7,6,12,1,0,116.66,1359478,5
Shimron Hetmyer ,not out ,22,16,21,1,1,137.50,1359478,6
Ravichandran Ashwin ,not out ,1,2,9,0,0,50.00,1359478,7
Extras,"(b 5, lb 1, w 2)",8,,,,,,1359478,8
TOTAL,20 Ov (RR: 10.15),203/5,,,,,,1359478,9
KL Rahul (c),c Patel b Sakariya,8,12,21,0,1,66.66,1359477,1
Kyle Mayers , b Patel,73,38,53,2,7,192.10,1359477,2
Deepak Hooda ,c Warner b Kuldeep Yadav,17,18,31,0,0,94.44,1359477,3
Krunal Pandya ,not out ,15,13,51,0,1,115.38,1359477,4
Marcus Stoinis ,c †Khan b Ahmed,12,10,13,0,1,120.00,1359477,5
Nicholas Pooran †,c Shaw b Ahmed,36,21,24,2,3,171.42,1359477,6
Ayush Badoni ,c †Khan b Sakariya,18,7,10,1,2,257.14,1359477,7
Krishnappa Gowtham ,not out ,6,1,2,0,1,600.00,1359477,8
Extras,"(b 1, lb 2, w 5)",8,,,,,,1359477,9
TOTAL,20 Ov (RR: 9.65),193/6,,,,,,1359477,10
Prabhsimran Singh ,c †Rahmanullah Gurbaz b Southee,23,12,10,2,2,191.66,1359476,1
Shikhar Dhawan (c), b Varun,40,29,75,6,0,137.93,1359476,2
Bhanuka Rajapaksa ,c Singh b Yadav,50,32,47,5,2,156.25,1359476,3
